date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:13	1539/1539	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:16%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/widget-toggle.min.css?ver=3.25.6	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/widget-toggle.minf34d.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:14	4875/4875	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:16%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.25.6	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/widget-social-icons.minf34d.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:14	7068/7068	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:16%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.25.6	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.minf34d.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:15	34396/34396	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202022%2019:14:19%20GMT	http://saberconscienteinstituto.com/wp-content/uploads/omgf/google-fonts-1/google-fonts-1.css?ver=1664317032	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/omgf/google-fonts-1/google-fonts-1c03e.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:15	250551/250551	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:23:59%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/elementor/css/post-472.css?ver=1731533039	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/elementor/css/post-4728e73.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:16	58071/58071	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:17%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:16	675/675	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:17%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:16	669/669	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:17%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:16	677/677	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:17%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:17	556180/556180	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2010:20:46%20GMT	https://saberconscienteinstituto.com/curso-de-terapias-holisticas/	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/curso-de-terapias-holisticas/index.html	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2019%20Nov%202024%2017:02:10%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/holistic/www.googletagmanager.com/gtm.205445.delayed	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:17	1606/1606	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Sep%202022%2004:42:47%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2022/09/cropped-logo-azul-sem-fundo-32x32.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2022/09/cropped-logo-azul-sem-fundo-32x32.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:17	17818/17818	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Sep%202022%2004:42:47%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2022/09/cropped-logo-azul-sem-fundo-192x192.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2022/09/cropped-logo-azul-sem-fundo-192x192.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:18	16376/16376	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Sep%202022%2004:42:47%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2022/09/cropped-logo-azul-sem-fundo-180x180.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2022/09/cropped-logo-azul-sem-fundo-180x180.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:18	11602/11602	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Oct%202022%2018:27:51%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2022/10/logo-lua.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2022/10/logo-lua.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:18	9398/9398	---M--	200	added ('OK')	image/png	date:Mon,%2001%20May%202023%2018:29:44%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/video-aulas.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/video-aulas.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:18	9360/9360	---M--	200	added ('OK')	image/png	date:Mon,%2001%20May%202023%2018:29:47%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/apostila.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/apostila.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
